TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2003,09,05,16,00,6X E 49TH AVE,Sunset,492386.77,5452557.17
Theft of Vehicle,2003,02,08,23,00,4XX ALEXANDER ST,Strathcona,493076.81,5459029.01
Other Theft,2003,11,30,17,20,6XX W BROADWAY AVE,Fairview,491339.61,5456735.27
Theft of Bicycle,2003,09,20,20,15,9XX SEYMOUR ST,Central Business District,491239.43,5458541.49
Break and Enter Residential/Other,2003,01,27,14,00,20XX TRIUMPH ST,Grandview-Woodland,495425.25,5459025.34
Break and Enter Residential/Other,2003,04,11,17,00,20XX TRIUMPH ST,Grandview-Woodland,495425.25,5459025.34
Break and Enter Residential/Other,2003,04,17,07,45,20XX TRIUMPH ST,Grandview-Woodland,495425.25,5459025.34
Theft of Vehicle,2003,12,20,14,00,4XX ABBOTT ST,Central Business District,492206.91,5458804.48
Theft of Vehicle,2003,09,11,18,00,4XX ABBOTT ST,Central Business District,492206.91,5458804.48
Theft of Vehicle,2003,07,26,15,00,4X W KING EDWARD AVE,Riley Park,492277.97,5455135.58
Other Theft,2003,03,07,16,35,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Theft of Vehicle,2003,02,23,09,00,4X W 4TH AVE,Mount Pleasant,492316.9,5457181.84
Theft from Vehicle,2003,08,06,00,00,58XX WALLACE ST,Dunbar-Southlands,486105.96,5453370.82
Theft from Vehicle,2003,07,02,16,00,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Offence Against a Person,2003,11,18,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2003,09,20,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,02,23,19,00,5XX E 15TH AVE,Mount Pleasant,493297.52,5456053.61
Theft of Vehicle,2003,06,18,06,00,4X POWELL ST,Central Business District,492489.26,5458946.06
Theft from Vehicle,2003,08,03,14,30,4XX POWELL ST,Strathcona,493074.01,5458928.25
Theft from Vehicle,2003,10,07,13,00,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Offence Against a Person,2003,07,04,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2003,05,31,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2003,03,09,16,00,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Theft of Bicycle,2003,05,08,03,00,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Theft of Bicycle,2003,01,05,11,00,9XX SEYMOUR ST,Central Business District,491207.37,5458509.52
Break and Enter Commercial,2003,01,24,00,35,13XX E PENDER ST,Grandview-Woodland,494408.94,5458620.53
Break and Enter Residential/Other,2003,04,07,15,00,20XX TRIUMPH ST,Grandview-Woodland,495466.1,5459025.14
Break and Enter Commercial,2003,03,21,21,00,13XX E PENDER ST,Grandview-Woodland,494423.18,5458629.43
Break and Enter Commercial,2003,10,21,03,00,13XX E PENDER ST,Grandview-Woodland,494423.18,5458629.43
Break and Enter Commercial,2003,11,17,17,56,13XX E PENDER ST,Grandview-Woodland,494423.18,5458629.43
Break and Enter Residential/Other,2003,03,22,12,27,20XX TRIUMPH ST,Grandview-Woodland,495468.61,5459015.98
Theft from Vehicle,2003,06,16,07,45,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Mischief,2003,12,03,05,40,8XX THURLOW ST,West End,490884.22,5459058.6
Break and Enter Commercial,2003,03,05,05,00,13XX E PENDER ST,Grandview-Woodland,494449.16,5458619.83
Theft from Vehicle,2003,06,10,18,00,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Theft from Vehicle,2003,11,19,13,00,10XX HARWOOD ST,West End,490416.12,5458369.34
Break and Enter Residential/Other,2003,09,27,13,00,20XX TURNER ST,Grandview-Woodland,495448.31,5458483.05
Theft from Vehicle,2003,04,25,19,30,30XX CAMBIE ST,Mount Pleasant,491635.15,5456220.38
Theft from Vehicle,2003,07,16,18,00,30XX CAMBIE ST,Mount Pleasant,491635.15,5456220.38
Mischief,2003,10,09,14,40,8XX TERMINAL AVE,Strathcona,493847.16,5457512.39
Theft of Vehicle,2003,10,17,00,30,4X E 51ST AVE,Sunset,492359.58,5452335.52
Theft from Vehicle,2003,08,20,17,00,30XX CHARLES ST,Hastings-Sunrise,496990.94,5457829.19
Break and Enter Residential/Other,2003,01,18,08,00,53XX SHERBROOKE ST,Kensington-Cedar Cottage,494071.58,5453762.02
Theft from Vehicle,2003,01,12,23,00,34XX E 2ND AVE,Hastings-Sunrise,497754.61,5457295.19
Theft from Vehicle,2003,08,21,00,30,30XX CHARLES ST,Hastings-Sunrise,496990.94,5457829.19
Mischief,2003,06,04,19,00,14XX BARCLAY ST,West End,490378.39,5459327.53
Theft of Bicycle,2003,07,19,19,00,9XX SEYMOUR ST,Central Business District,491198.78,5458513.86
Break and Enter Commercial,2003,02,18,23,50,13XX FRANCES ST,Grandview-Woodland,494453.46,5458520.64
Theft from Vehicle,2003,01,08,20,00,30XX CHARLES ST,Hastings-Sunrise,497053.24,5457838.12
Mischief,2003,05,06,03,55,8XX E 24TH AVE,Kensington-Cedar Cottage,493715.34,5455160.61
Offence Against a Person,2003,11,20,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2003,07,05,14,00,9XX SCHOOL GR,Fairview,490822.74,5457167.6
Theft of Vehicle,2003,09,15,11,30,49XX WILLOW ST,South Cambie,491005.54,5454275.27
Theft from Vehicle,2003,04,07,16,00,6X KEEFER PL,Central Business District,492231.06,5458545.72
Theft from Vehicle,2003,01,30,23,00,30XX CLARK DR,Mount Pleasant,494357.83,5456114.04
Theft from Vehicle,2003,12,22,18,00,30XX CLARK DR,Mount Pleasant,494357.83,5456114.04
Theft from Vehicle,2003,06,06,19,30,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Break and Enter Residential/Other,2003,06,28,06,00,20XX W 10TH AVE,Kitsilano,488939.62,5456682.41
Theft of Vehicle,2003,07,19,11,35,49XX WALDEN ST,Riley Park,492717.02,5454181.41
Offence Against a Person,2003,12,02,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,08,06,18,00,5X POWELL ST,Central Business District,492502.01,5458954.81
Mischief,2003,11,17,16,50,8XX TERMINAL AVE,Strathcona,493766.45,5457527.34
Theft from Vehicle,2003,12,22,18,00,87XX GRANVILLE ST,Marpole,489763.23,5450435.7
Break and Enter Residential/Other,2003,05,03,20,00,6X E 59TH AVE,Sunset,492375.01,5451556.45
Theft from Vehicle,2003,05,30,19,45,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Theft of Vehicle,2003,11,08,21,00,49XX VICTORIA DR,Kensington-Cedar Cottage,495246.36,5454139.9
Theft from Vehicle,2003,11,11,20,00,30XX COMMERCIAL DR,Kensington-Cedar Cottage,494920.65,5456107.06
Theft from Vehicle,2003,04,04,19,10,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Break and Enter Residential/Other,2003,02,06,08,50,20XX W 11TH AVE,Kitsilano,488892.95,5456581.5
Break and Enter Residential/Other,2003,05,16,12,00,20XX W 11TH AVE,Kitsilano,488892.95,5456581.5
Offence Against a Person,2003,09,15,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,10,29,05,30,20XX W 11TH AVE,Kitsilano,488892.95,5456581.5
Break and Enter Residential/Other,2003,01,08,09,30,20XX W 11TH AVE,Kitsilano,489002.87,5456578.45
Offence Against a Person,2003,08,03,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2003,07,20,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,07,28,12,00,13XX HARWOOD ST,West End,489967.92,5458816.89
Break and Enter Commercial,2003,01,23,04,35,13XX HARWOOD ST,West End,489982.4,5458802.36
Break and Enter Commercial,2003,09,26,19,49,13XX HARWOOD ST,West End,489997.62,5458774.11
Other Theft,2003,09,19,19,22,7XX BURRARD ST,Central Business District,491118.6,5458997.3
Theft from Vehicle,2003,07,28,22,00,34XX E 3RD AVE,Hastings-Sunrise,497754.56,5457194.69
Theft of Vehicle,2003,10,10,19,00,49XX SOPHIA ST,Riley Park,492814.05,5454289.46
Break and Enter Residential/Other,2003,03,17,17,30,20XX W 11TH AVE,Kitsilano,489002.87,5456578.45
Theft of Vehicle,2003,03,26,23,59,49XX SOMERVILLE ST,Kensington-Cedar Cottage,493764.23,5454158.6
Break and Enter Residential/Other,2003,04,18,13,00,20XX W 11TH AVE,Kitsilano,489002.87,5456578.45
Mischief,2003,08,16,23,00,39XX MAIN ST,Riley Park,492642.92,5455234.3
Break and Enter Residential/Other,2003,05,19,00,01,20XX W 11TH AVE,Kitsilano,489002.87,5456578.45
Break and Enter Residential/Other,2003,11,05,13,35,20XX W 11TH AVE,Kitsilano,489002.87,5456578.45
Theft of Vehicle,2003,10,21,01,00,49XX SHERBROOKE ST,Kensington-Cedar Cottage,494090.52,5454154.67
Theft from Vehicle,2003,03,27,13,00,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Break and Enter Commercial,2003,09,30,21,00,13XX HOMER ST,Central Business District,490883.89,5457916.5
Theft from Vehicle,2003,05,26,16,30,6XX RICHARDS ST,Central Business District,491603.59,5458785.56
Theft from Vehicle,2003,03,01,18,30,30XX E 17TH AVE,Renfrew-Collingwood,496982.53,5455774.96
Break and Enter Residential/Other,2003,03,22,03,00,20XX W 12TH AVE,Kitsilano,488927.32,5456486.99
Mischief,2003,02,03,00,14,32XX W 14TH AVE,Kitsilano,487181.58,5456335.81
Theft of Vehicle,2003,06,08,13,42,49XX RUPERT ST,Renfrew-Collingwood,497234.35,5454178.21
Theft of Vehicle,2003,03,08,21,00,49XX RUPERT ST,Renfrew-Collingwood,497219.77,5454155.0
Break and Enter Residential/Other,2003,07,18,16,04,20XX W 12TH AVE,Kitsilano,488927.32,5456486.99
Break and Enter Residential/Other,2003,11,05,13,35,20XX W 12TH AVE,Kitsilano,488927.32,5456486.99
Theft from Vehicle,2003,01,19,02,00,5X POWELL ST,Central Business District,492502.01,5458954.81
Theft from Vehicle,2003,01,27,18,45,5X POINT GREY RD,Kitsilano,488031.0,5457786.0
Offence Against a Person,2003,09,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,04,01,22,00,58XX WALLACE ST,Dunbar-Southlands,486096.84,5453417.39
Theft from Vehicle,2003,02,07,14,30,7XX SEYMOUR ST,Central Business District,491382.42,5458686.32
Theft of Bicycle,2003,05,03,02,00,14XX W 13TH AVE,Fairview,490001.14,5456341.6
Other Theft,2003,09,02,17,04,7XX BURRARD ST,Central Business District,491118.6,5458997.3
Theft from Vehicle,2003,01,24,19,00,HARO ST / NICOLA ST,West End,490387.14,5459475.88
Theft from Vehicle,2003,05,20,11,00,7XX SE MARINE DR,Sunset,493542.74,5450931.69
Mischief,2003,02,15,01,30,8XX TERMINAL AVE,Strathcona,493766.45,5457527.34
Theft of Vehicle,2003,09,24,00,30,49XX PRINCE ALBERT ST,Kensington-Cedar Cottage,493603.79,5454160.53
Theft of Bicycle,2003,08,18,10,00,9XX RICHARDS ST,Central Business District,491294.45,5458474.73
Theft of Vehicle,2003,07,21,23,00,49XX PINE CRES,Shaughnessy,489319.23,5454362.75
Theft of Bicycle,2003,07,31,17,00,9XX RICHARDS ST,Central Business District,491277.37,5458444.38
Theft from Vehicle,2003,11,29,02,00,10XX HARWOOD ST,West End,490416.12,5458369.34
Theft from Vehicle,2003,08,24,12,00,30XX E 18TH AVE,Renfrew-Collingwood,497146.34,5455698.59
Mischief,2003,02,06,20,30,2XX W BROADWAY AVE,Mount Pleasant,492026.88,5456707.66
Offence Against a Person,2003,06,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,04,19,10,00,30XX E 19TH AVE,Renfrew-Collingwood,496981.47,5455595.19
Mischief,2003,03,02,00,30,2XX W CORDOVA ST,Central Business District,492140.15,5458933.72
Mischief,2003,12,16,21,45,8XX GRANVILLE ST,Central Business District,491283.38,5458732.83
Break and Enter Commercial,2003,11,02,01,30,13XX HORNBY ST,Central Business District,490470.88,5458197.99
Break and Enter Residential/Other,2003,07,17,00,30,20XX W 13TH AVE,Kitsilano,488969.71,5456369.29
Theft from Vehicle,2003,12,13,22,30,34XX E 3RD AVE,Hastings-Sunrise,497754.56,5457194.69
Theft from Vehicle,2003,05,11,17,00,5XX PIPELINE RD,Stanley Park,490121.13,5460713.44
Theft from Vehicle,2003,05,27,06,00,34XX E 3RD AVE,Hastings-Sunrise,497801.87,5457194.46
Theft from Vehicle,2003,06,03,11,30,30XX E 1ST AVE,Hastings-Sunrise,496992.27,5457398.08
Mischief,2003,09,03,01,00,87XX MONTCALM ST,Marpole,490082.96,5450435.52
Break and Enter Residential/Other,2003,07,02,20,00,20XX W 13TH AVE,Kitsilano,488973.15,5456378.36
Break and Enter Residential/Other,2003,02,17,08,00,20XX W 13TH AVE,Kitsilano,488992.6,5456377.94
Theft of Bicycle,2003,06,20,16,00,9XX RICHARDS ST,Central Business District,491227.97,5458407.29
Theft from Vehicle,2003,07,20,15,30,KINGSWAY AVE / PRINCE EDWARD ST,Mount Pleasant,492991.88,5456320.93
Break and Enter Residential/Other,2003,07,31,15,00,34XX W 8TH AVE,Kitsilano,486824.59,5456953.99
Break and Enter Commercial,2003,07,14,05,15,13XX HORNBY ST,Central Business District,490491.05,5458230.76
Theft from Vehicle,2003,12,06,21,00,7XX E 47TH AVE,Sunset,493401.06,5452730.53
Theft of Bicycle,2003,03,04,18,00,9XX RICHARDS ST,Central Business District,491227.97,5458407.29
Break and Enter Residential/Other,2003,12,22,01,30,20XX W 14TH AVE,Kitsilano,488948.82,5456278.57
Mischief,2003,04,16,23,57,50XX EARLES ST,Renfrew-Collingwood,496536.81,5454021.91
Break and Enter Residential/Other,2003,10,30,12,55,53XX TAUNTON ST,Renfrew-Collingwood,497177.4,5453724.92
Offence Against a Person,2003,04,22,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,10,20,08,30,7XX E HASTINGS ST,Strathcona,493591.72,5458706.59
Break and Enter Commercial,2003,12,24,23,28,13XX HORNBY ST,Central Business District,490495.49,5458235.14
Theft from Vehicle,2003,01,30,18,00,30XX E 20TH AVE,Renfrew-Collingwood,497054.89,5455512.96
Theft from Vehicle,2003,01,30,20,30,30XX E 21ST AVE,Renfrew-Collingwood,496979.99,5455410.0
Theft from Vehicle,2003,06,02,13,18,6XX RICHARDS ST,Central Business District,491603.59,5458785.56
Theft of Bicycle,2003,05,09,00,00,14XX W 12TH AVE,Fairview,489997.09,5456450.44
Theft of Bicycle,2003,02,17,15,00,9XX RICHARDS ST,Central Business District,491206.53,5458385.54
Break and Enter Residential/Other,2003,12,16,12,00,53XX TAUNTON ST,Renfrew-Collingwood,497199.33,5453756.42
Theft from Vehicle,2003,07,18,08,00,87XX GRANVILLE ST,Marpole,489761.98,5450386.13
Break and Enter Commercial,2003,08,27,04,15,13XX HORNBY ST,Central Business District,490515.21,5458241.76
Break and Enter Residential/Other,2003,11,07,20,20,60XX CHURCHILL ST,Kerrisdale,489702.0,5453196.42
Theft from Vehicle,2003,10,04,20,00,30XX E 21ST AVE,Renfrew-Collingwood,496979.99,5455410.0
Theft from Vehicle,2003,07,04,18,00,87XX GRANVILLE ST,Marpole,489761.98,5450386.13
Theft of Bicycle,2003,05,02,00,00,14XX W 12TH AVE,Fairview,489997.09,5456450.44
Theft from Vehicle,2003,01,07,17,30,E HASTINGS ST / RENFREW ST,Hastings-Sunrise,496797.39,5458712.21
Break and Enter Residential/Other,2003,11,04,09,30,20XX W 16TH AVE,Kitsilano,488950.71,5456071.51
Theft of Bicycle,2003,02,08,18,20,9XX PACIFIC ST,Central Business District,490375.05,5458253.22
Break and Enter Residential/Other,2003,02,16,06,00,6X E CORDOVA ST,Central Business District,492508.51,5458844.4
Break and Enter Residential/Other,2003,01,20,06,00,53XX TYNE ST,Renfrew-Collingwood,497787.53,5453606.86
Offence Against a Person,2003,12,03,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,12,30,20,30,6X KEEFER PL,Central Business District,492231.06,5458545.72
Theft from Vehicle,2003,03,29,15,00,87XX GRANVILLE ST,Marpole,489761.98,5450386.13
Break and Enter Residential/Other,2003,02,13,23,20,20XX W 16TH AVE,Kitsilano,489018.71,5456069.84
Break and Enter Residential/Other,2003,03,14,02,10,53XX TYNE ST,Renfrew-Collingwood,497787.53,5453606.86
Theft of Bicycle,2003,08,22,23,30,9XX NICOLA ST,West End,490284.83,5459365.99
Break and Enter Residential/Other,2003,05,25,21,30,53XX TYNE ST,Renfrew-Collingwood,497787.53,5453606.86
Mischief,2003,10,19,04,00,6XX SW MARINE DR,Marpole,491289.96,5450697.16
Break and Enter Residential/Other,2003,08,25,04,10,53XX TYNE ST,Renfrew-Collingwood,497787.53,5453606.86
Break and Enter Residential/Other,2003,12,16,15,00,6XX W HASTINGS ST,Central Business District,491784.47,5459109.3
Offence Against a Person,2003,06,04,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2003,01,04,14,00,9XX NELSON ST,Central Business District,490876.14,5458675.89
Break and Enter Residential/Other,2003,02,12,07,30,20XX W 1ST AVE,Kitsilano,488915.01,5457564.22
Break and Enter Residential/Other,2003,09,13,12,30,20XX W 1ST AVE,Kitsilano,488915.01,5457564.22
Theft from Vehicle,2003,05,11,00,00,5X PEVERIL AVE,Riley Park,492211.94,5454794.46
Offence Against a Person,2003,01,28,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,10,15,22,30,10XX W 7TH AVE,Fairview,490767.52,5456936.54
Mischief,2003,02,06,18,00,8XX GRANVILLE ST,Central Business District,491283.38,5458732.83
Break and Enter Residential/Other,2003,03,06,09,00,20XX W 1ST AVE,Kitsilano,488956.03,5457572.26
Break and Enter Residential/Other,2003,12,18,06,05,20XX W 1ST AVE,Kitsilano,488977.73,5457562.52
Mischief,2003,10,12,11,51,7XX W PENDER ST,Central Business District,491641.03,5459106.52
Offence Against a Person,2003,01,30,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,12,27,18,15,7XX W PENDER ST,Central Business District,491641.03,5459106.52
Break and Enter Commercial,2003,11,14,15,00,13XX HOWE ST,Central Business District,490531.47,5458135.81
Offence Against a Person,2003,05,10,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2003,07,15,14,00,7XX BURRARD ST,Central Business District,491118.6,5458997.3
Theft from Vehicle,2003,04,20,03,00,34XX E 45TH AVE,Killarney,497737.22,5452934.93
Theft from Vehicle,2003,01,03,08,00,10XX BURRARD ST,West End,490729.83,5458622.34
Offence Against a Person,2003,10,26,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,08,15,22,30,49XX DUCHESS ST,Renfrew-Collingwood,496220.83,5454125.96
Theft of Vehicle,2003,03,12,23,00,49XX DUCHESS ST,Renfrew-Collingwood,496220.83,5454125.96
Mischief,2003,09,27,12,30,E 2ND AVE / MAIN ST,Mount Pleasant,492668.07,5457370.52
Break and Enter Residential/Other,2003,11,15,18,45,34XX W BROADWAY AVE,Kitsilano,486854.98,5456846.78
Theft from Vehicle,2003,02,12,18,00,30XX E 23RD AVE,Renfrew-Collingwood,496982.24,5455206.55
Theft from Vehicle,2003,06,20,22,30,30XX E 23RD AVE,Renfrew-Collingwood,496982.24,5455206.55
Break and Enter Residential/Other,2003,08,11,23,00,20XX W 1ST AVE,Kitsilano,489018.75,5457570.55
Break and Enter Commercial,2003,09,20,23,00,13XX HOWE ST,Central Business District,490625.66,5458216.69
Break and Enter Residential/Other,2003,09,25,17,50,20XX W 1ST AVE,Kitsilano,489018.75,5457570.55
Break and Enter Residential/Other,2003,11,07,07,00,20XX W 1ST AVE,Kitsilano,489018.75,5457570.55
Theft from Vehicle,2003,09,04,01,30,30XX E 25TH AVE,Renfrew-Collingwood,496983.28,5455009.32
Theft of Vehicle,2003,01,20,21,00,49XX DUCHESS ST,Renfrew-Collingwood,496175.37,5454075.34
Theft from Vehicle,2003,02,07,18,00,E HASTINGS ST / RENFREW ST,Hastings-Sunrise,496797.39,5458712.21
Break and Enter Residential/Other,2003,12,05,00,00,53XX VINE ST,Arbutus Ridge,488361.22,5453873.53
Mischief,2003,11,12,09,00,8XX SW MARINE DR,Marpole,490884.79,5450462.19
Theft from Vehicle,2003,11,08,12,00,45XX ANGUS DR,Shaughnessy,489415.1,5454688.61
Break and Enter Commercial,2003,12,23,18,00,13XX JERVIS ST,West End,490061.28,5458784.08
Mischief,2003,08,22,17,00,39XX MAIN ST,Riley Park,492642.42,5455216.18
Break and Enter Residential/Other,2003,11,09,17,30,20XX W 2ND AVE,Kitsilano,488909.27,5457466.29
Break and Enter Residential/Other,2003,11,03,08,00,7XX W 7TH AVE,Fairview,491244.77,5456934.44
Theft from Vehicle,2003,01,23,17,15,DUNSMUIR ST / SEYMOUR ST,Central Business District,491607.52,5458920.98
Break and Enter Residential/Other,2003,05,27,09,00,20XX W 2ND AVE,Kitsilano,488918.69,5457466.05
Mischief,2003,03,24,01,30,39XX MAIN ST,Riley Park,492642.13,5455205.61
Other Theft,2003,12,30,16,28,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Theft of Vehicle,2003,08,11,17,20,49XX ASH ST,South Cambie,491313.61,5454111.95
Theft of Bicycle,2003,06,06,21,00,9XX LAGOON DR,West End,489735.41,5460037.93
Break and Enter Residential/Other,2003,05,18,12,20,7XX W 7TH AVE,Fairview,491244.77,5456934.44
Theft of Bicycle,2003,04,24,18,00,9XX LAGOON DR,West End,489735.41,5460037.93
Mischief,2003,01,11,18,00,7XX GREAT NORTHERN WAY,Mount Pleasant,493652.6,5457063.74
Theft of Bicycle,2003,04,24,00,00,9XX LAGOON DR,West End,489735.41,5460037.93
Break and Enter Residential/Other,2003,02,06,19,30,20XX W 2ND AVE,Kitsilano,489016.26,5457472.66
Other Theft,2003,12,09,12,40,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Other Theft,2003,11,20,19,00,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Theft from Vehicle,2003,05,10,14,00,E HASTINGS ST / RENFREW ST,Hastings-Sunrise,496797.39,5458712.21
Break and Enter Residential/Other,2003,12,09,18,00,20XX W 2ND AVE,Kitsilano,489044.28,5457462.79
Theft from Vehicle,2003,02,20,19,00,30XX E 28TH AVE,Renfrew-Collingwood,496979.43,5454733.11
Break and Enter Commercial,2003,03,31,18,00,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494341.34,5455357.69
Break and Enter Commercial,2003,07,11,06,25,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494341.34,5455357.69
Break and Enter Commercial,2003,07,18,07,06,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494341.34,5455357.69
Break and Enter Commercial,2003,07,24,03,13,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494341.34,5455357.69
Mischief,2003,01,18,02,00,34XX E 48TH AVE,Killarney,497668.03,5452491.78
Theft from Vehicle,2003,10,04,11,00,5XX CAMBIE ST,Central Business District,491987.91,5458756.08
Break and Enter Residential/Other,2003,07,23,17,00,20XX W 33RD AVE,Arbutus Ridge,488832.98,5454387.05
Break and Enter Residential/Other,2003,09,17,07,30,79XX ARGYLE ST,Victoria-Fraserview,494757.56,5451070.92
Break and Enter Residential/Other,2003,09,22,12,00,53XX WALES ST,Renfrew-Collingwood,496230.36,5453749.29
Offence Against a Person,2003,09,05,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,05,31,14,00,7XX SE MARINE DR,Sunset,493481.13,5450910.08
Break and Enter Residential/Other,2003,02,21,09,30,53XX WALES ST,Renfrew-Collingwood,496230.93,5453699.56
Break and Enter Residential/Other,2003,09,13,06,00,34XX W BROADWAY AVE,Kitsilano,486876.67,5456846.17
Other Theft,2003,11,14,15,10,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Break and Enter Residential/Other,2003,02,15,12,00,6X E PENDER ST,Central Business District,492512.07,5458643.59
Break and Enter Residential/Other,2003,03,19,01,00,6X E PENDER ST,Central Business District,492512.07,5458643.59
Theft from Vehicle,2003,03,10,08,00,30XX E 29TH AVE,Renfrew-Collingwood,496936.86,5454637.95
Theft of Bicycle,2003,05,14,19,00,14XX W 11TH AVE,Fairview,490051.18,5456549.28
Break and Enter Commercial,2003,01,12,02,30,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494368.58,5455334.04
Break and Enter Commercial,2003,01,23,23,15,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494368.58,5455334.04
Theft of Bicycle,2003,09,01,14,00,9XX HOMER ST,Central Business District,491333.7,5458370.84
Break and Enter Commercial,2003,06,19,21,00,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494383.9,5455321.88
Break and Enter Residential/Other,2003,05,16,09,30,20XX W 35TH AVE,Shaughnessy,488840.81,5454157.65
Theft of Vehicle,2003,11,27,00,55,48XX SLOCAN ST,Renfrew-Collingwood,496154.71,5454269.57
Theft of Vehicle,2003,10,04,23,00,48XX SLOCAN ST,Renfrew-Collingwood,496154.71,5454269.57
Break and Enter Commercial,2003,05,02,14,00,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494394.12,5455313.77
Break and Enter Residential/Other,2003,01,09,12,00,6X KEEFER PL,Central Business District,492231.06,5458545.72
Theft from Vehicle,2003,09,12,17,00,30XX E 29TH AVE,Renfrew-Collingwood,496936.86,5454637.95
Theft from Vehicle,2003,08,31,17,50,5XX CAMBIE ST,Central Business District,491987.91,5458756.08
Theft of Vehicle,2003,04,08,22,00,48XX SLOCAN ST,Renfrew-Collingwood,496154.71,5454269.57
Break and Enter Commercial,2003,01,13,22,00,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494404.91,5455316.88
Break and Enter Commercial,2003,07,25,19,00,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494406.89,5455303.64
Theft of Bicycle,2003,10,04,08,15,9XX HAWKS AVE,Strathcona,493650.39,5458191.48
Other Theft,2003,10,06,14,12,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95
Break and Enter Residential/Other,2003,03,06,16,00,53XX YEW ST,Arbutus Ridge,488463.96,5453916.52
Theft of Vehicle,2003,02,24,23,10,48XX SLOCAN ST,Renfrew-Collingwood,496095.27,5454191.9
Break and Enter Residential/Other,2003,10,22,16,30,53XX YEW ST,Arbutus Ridge,488463.96,5453916.52
Theft from Vehicle,2003,03,07,11,00,DUNSMUIR ST / SEYMOUR ST,Central Business District,491607.52,5458920.98
Break and Enter Residential/Other,2003,01,19,23,00,60XX COLLINGWOOD ST,Dunbar-Southlands,486740.59,5453218.34
Theft from Vehicle,2003,05,14,12,00,DUNSMUIR ST / SEYMOUR ST,Central Business District,491607.52,5458920.98
Theft from Vehicle,2003,07,08,09,00,DUNSMUIR ST / SEYMOUR ST,Central Business District,491607.52,5458920.98
Break and Enter Residential/Other,2003,07,02,03,00,6X KEEFER PL,Central Business District,492231.06,5458545.72
Break and Enter Residential/Other,2003,09,10,23,00,6X KEEFER PL,Central Business District,492231.06,5458545.72
Theft of Vehicle,2003,01,22,01,30,48XX RUPERT ST,Renfrew-Collingwood,497322.2,5454314.13
Theft of Vehicle,2003,04,18,03,00,48XX RUPERT ST,Renfrew-Collingwood,497285.47,5454256.71
Offence Against a Person,2003,06,28,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,08,04,21,30,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494434.98,5455281.35
Offence Against a Person,2003,06,21,,,OFFSET TO PROTECT PRIVACY,,0,0
